case_key,title,status,dataset,source_pose_archive,source_geometry_archive,source_scene,frame_count,output_path,unresolved_reason
worldlabs-001,Knitted harbor,直接找到,worldlabs_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/worldlabs_packed/scannetpp/001_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/worldlabs_atlas_packed/highlight__octopus_close_up,81,worldlabs-001,
worldlabs-005,Toy room,直接找到,worldlabs_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/worldlabs_packed/scannetpp/005_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/worldlabs_atlas_packed/highlight__clay_shops_v2,81,worldlabs-005,
worldlabs-034,Indoor pool,直接找到,worldlabs_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/worldlabs_packed/scannetpp/034_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/worldlabs_atlas_packed/long__birdman-1-minute__path-1__chunk_005,81,worldlabs-034,
worldlabs-057,Village square,直接找到,worldlabs_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/worldlabs_packed/scannetpp/057_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/worldlabs_atlas_packed/long__medieval-village-dense__path-1__chunk_001,81,worldlabs-057,
worldlabs-064,Ancient forest,直接找到,worldlabs_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/worldlabs_packed/scannetpp/064_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/worldlabs_atlas_packed/long__medieval-village-dense__path-1__chunk_000,81,worldlabs-064,
world-054,Desert drive,直接找到,iv3/omniworld_game_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/omniworld_game_packed/scannetpp/054_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/omniworld_game_packed/train/6d8a47afa1ea_split10,81,world-054,
world-061,Hillside drive,直接找到,iv3/omniworld_game_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/omniworld_game_packed/scannetpp/061_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/omniworld_game_packed/train/6d8a47afa1ea_split11,81,world-061,
world-089,Village street,直接找到,iv3/omniworld_game_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/omniworld_game_packed/scannetpp/089_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/omniworld_game_packed/train/6d8a47afa1ea_split38,81,world-089,
omniworld-099,Hillside rider,直接找到,iv3/omniworld_game_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/omniworld_game_packed/scannetpp/099_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/omniworld_game_packed/train/1b5d3c81b0d9_split15,81,omniworld-099,
world-114,Forest rider,直接找到,iv3/omniworld_game_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/omniworld_game_packed/scannetpp/114_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/omniworld_game_packed/train/397eb1cb3960_split46,81,world-114,
world-120,Night walk,直接找到,iv3/omniworld_game_packed,/threed-code/jiahaolu/GLD/results/lm-eval-sep/d64/step0013000/iv3/omniworld_game_packed/scannetpp/120_poses.npz,,/threed-code/public_datasets/Geometry_diffusion_data/omniworld_game_packed/train/3d0aef206fd1_split17,81,world-120,
